msg                                                                                                                                                                                                                                                              proc_name                                                                                            step_name                                                                                            row_id      entry_dt
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------- ----------- -----------------------
Loading started                                                                                                                                                                                                                                                  Status: success                                                                                      -                                                                                                    1           2016-05-08 23:29:42.137
Transferring data to imported_rows started...                                                                                                                                                                                                                    Success                                                                                              Rewriting                                                                                            2           2016-05-08 23:29:42.437
IMP record inserted into correct table                                                                                                                                                                                                                           Processing                                                                                           Rewriting                                                                                            3           2016-05-08 23:29:42.440
Transferring data to imported_rows finished...                                                                                                                                                                                                                   Success                                                                                              Rewriting                                                                                            4           2016-05-08 23:29:42.440
Data processing started                                                                                                                                                                                                                                          Processing                                                                                           Beginning                                                                                            5           2016-05-08 23:29:42.470
Deleting file finished                                                                                                                                                                                                                                           Status: ended                                                                                        -                                                                                                    6           2016-05-08 23:29:42.483
Starting creating local variables                                                                                                                                                                                                                                Processing                                                                                           Creating local variables                                                                             7           2016-05-08 23:29:42.533
Local variables created                                                                                                                                                                                                                                          Processing                                                                                           Creating local variables                                                                             8           2016-05-08 23:29:42.533
Cursor declaration                                                                                                                                                                                                                                               Processing                                                                                           Creating local variables                                                                             9           2016-05-08 23:29:42.533
Cursor created                                                                                                                                                                                                                                                   Processing                                                                                           Creating cursor                                                                                      10          2016-05-08 23:29:42.533
Fetching next record by cursor - SUCCESS                                                                                                                                                                                                                         Processing                                                                                           Looping through IR                                                                                   11          2016-05-08 23:29:42.537
Starting saving artists names and release years of albums                                                                                                                                                                                                        Processing                                                                                           Saving                                                                                               12          2016-05-08 23:29:42.537
Import_status changed                                                                                                                                                                                                                                            Processing                                                                                           Updating                                                                                             13          2016-05-08 23:29:42.540
Songs saved successfully                                                                                                                                                                                                                                         Processing                                                                                           Saving                                                                                               14          2016-05-08 23:29:42.540
Fetching next record by cursor - SUCCESS                                                                                                                                                                                                                         Processing                                                                                           Looping through IR                                                                                   15          2016-05-08 23:29:42.540
Starting saving artists names and release years of albums                                                                                                                                                                                                        Processing                                                                                           Saving                                                                                               16          2016-05-08 23:29:42.543
Import_status changed                                                                                                                                                                                                                                            Processing                                                                                           Updating                                                                                             17          2016-05-08 23:29:42.550
Songs saved successfully                                                                                                                                                                                                                                         Processing                                                                                           Saving                                                                                               18          2016-05-08 23:29:42.550
Fetching next record by cursor - SUCCESS                                                                                                                                                                                                                         Processing                                                                                           Looping through IR                                                                                   19          2016-05-08 23:29:42.550
Starting saving artists names and release years of albums                                                                                                                                                                                                        Processing                                                                                           Saving                                                                                               20          2016-05-08 23:29:42.550
Import_status changed                                                                                                                                                                                                                                            Processing                                                                                           Updating                                                                                             21          2016-05-08 23:29:42.553
Songs saved successfully                                                                                                                                                                                                                                         Processing                                                                                           Saving                                                                                               22          2016-05-08 23:29:42.553
Fetching next record by cursor - SUCCESS                                                                                                                                                                                                                         Processing                                                                                           Looping through IR                                                                                   23          2016-05-08 23:29:42.553
Master_id updated                                                                                                                                                                                                                                                Processing                                                                                           Updating                                                                                             24          2016-05-08 23:29:42.553
ERROR - duplicate found                                                                                                                                                                                                                                          Processing                                                                                           Saving                                                                                               25          2016-05-08 23:29:42.557
Fetching next record by cursor - SUCCESS                                                                                                                                                                                                                         Processing                                                                                           Looping through IR                                                                                   26          2016-05-08 23:29:42.557
Master_id updated                                                                                                                                                                                                                                                Processing                                                                                           Updating                                                                                             27          2016-05-08 23:29:42.560
Import_status changed                                                                                                                                                                                                                                            Processing                                                                                           Updating                                                                                             28          2016-05-08 23:29:42.560
Songs saved successfully                                                                                                                                                                                                                                         Processing                                                                                           Saving                                                                                               29          2016-05-08 23:29:42.560
Fetching next record by cursor - SUCCESS                                                                                                                                                                                                                         Processing                                                                                           Looping through IR                                                                                   30          2016-05-08 23:29:42.560
Master_id updated                                                                                                                                                                                                                                                Processing                                                                                           Updating                                                                                             31          2016-05-08 23:29:42.560
Import_status changed                                                                                                                                                                                                                                            Processing                                                                                           Updating                                                                                             32          2016-05-08 23:29:42.563
Songs saved successfully                                                                                                                                                                                                                                         Processing                                                                                           Saving                                                                                               33          2016-05-08 23:29:42.563
Fetching next record by cursor - SUCCESS                                                                                                                                                                                                                         Processing                                                                                           Looping through IR                                                                                   34          2016-05-08 23:29:42.563
Starting saving artists names and release years of albums                                                                                                                                                                                                        Processing                                                                                           Saving                                                                                               35          2016-05-08 23:29:42.563
Import_status changed                                                                                                                                                                                                                                            Processing                                                                                           Updating                                                                                             36          2016-05-08 23:29:42.567
Songs saved successfully                                                                                                                                                                                                                                         Processing                                                                                           Saving                                                                                               37          2016-05-08 23:29:42.567
Fetching next record by cursor - SUCCESS                                                                                                                                                                                                                         Processing                                                                                           Looping through IR                                                                                   38          2016-05-08 23:29:42.567
Master_id updated                                                                                                                                                                                                                                                Processing                                                                                           Updating                                                                                             39          2016-05-08 23:29:42.567
Import_status changed                                                                                                                                                                                                                                            Processing                                                                                           Updating                                                                                             40          2016-05-08 23:29:42.567
Songs saved successfully                                                                                                                                                                                                                                         Processing                                                                                           Saving                                                                                               41          2016-05-08 23:29:42.570
Finalizing processing process                                                                                                                                                                                                                                    Processing                                                                                           Finishing                                                                                            42          2016-05-08 23:29:42.570
Processing has been ended                                                                                                                                                                                                                                        Processing                                                                                           End                                                                                                  43          2016-05-08 23:29:42.590
